검색어,기사 제목,기사요약
코알라,"꿀잠 잤을 뿐인데 세상을 구했네요"..살만해진 코알라 리빙 가치소비에 살맛나요,서울리빙디자인페어에 참가한 코알라 [사진출처 = 코알라] 리빙(Living) 분야에서 더 나은 미래를 향한 '가치소비' 바람이 불고 있다. 단순히 좋은 제품을 사는 수준에 머물지 않고 더 낳은 환경과 지속가능한 미래에도 기여했다는 뿌듯함을 선사하는 제품들이 주목...
코알라,"지속가능성과 함께 더 좋은 잠을"..호주 가구기업 코알라의 제안,2022 서울리빙디자인페어 코알라 부스. 사진=코알라 호주 모던 라이프스타일 가구 브랜드 '코알라(Koala)'가 24일 브랜드 근간으로 삼은 지속가능성과 지구 보호 철학에 대해 ‘2022 서울리빙디자인페어'에서 밝혔다. 2015년 호주 시드니에서 시작한 코알라는 일본을...
코알라,멸종 위기에 내몰린 코알라의 눈물,[EBS 뉴스G] 뉴스G 순서입니다. 호주를 상징하는 동물 코알라가 개체수가 급격히 감소하면서 멸종위기종으로 지정됐습니다. 기후변화로 인한 산불과 가뭄 그리고 서식지 파괴가 원인입니다. 영상으로 만나보시죠. [리포트] 호주 정부는 코알라의 주 서식지인 동부...
코알라,비트코인 반등했다지만..'우크라 쇼크' 끝나지 않았다 [한경 코알라],명분으로 자국군에 이 지역 진입을 명령했다. 2022.2.23 [사진=AFP 연합뉴스] 2월 25일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 전쟁 위기로...
코알라,'호주 상징' 코알라 멸종위기종 지정.."이대로면 2050년 사라져",2016년 교통사고로 장애가 생긴 코알라 [AFP 연합뉴스 자료사진 재판매 및 DB 금지] (서울=연합뉴스) 차병섭 기자 = 호주를 상징하는 동물 코알라의 개체수가 최근 20년간 급격히 감소한 끝에 멸종 위기종으로 공식 지정됐다. 11일 AFP 통신에 따르면 수잔 레이 호주...
코알라,홈 퍼니처 기업 코알라 서울리빙디자인페어 참가,호주 홈퍼니처 기업 코알라는 오는 23일부터 27일까지 서울 삼성동 코엑스에서 진행되는 ‘2022 서울리빙디자인페어’에 참가한다고 15일 밝혔다. 사진=코알라 호주 홈퍼니처 기업 코알라는 오는 23일부터 27일까지 서울 삼성동 코엑스에서 열리는 ‘2022 서울리빙...
코알라,러시아 정부 "코인 투자하려면 시험 봐라" [한경 코알라],in the Kremlin in Moscow Russia Tuesday Feb. 15 2022. AP연합뉴스 2월 23일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 이 와중에 러시아...
코알라,슈퍼볼과 올림픽을 통해 바라본 암호화폐의 미래 [한경 코알라],2월 23일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 최초로 ‘크립토 볼’이 열린 미국 전 세계가 동계올림픽 응원으로 하나 되던 지난 2월 14일...
코알라,[영상] 산불·질병에 시달린 코알라 결국 멸종위기종 지정 [나우어스],2019~2020년 호주를 덮쳤던 최악의 산불 당시 코알라 한 마리가 구조된 모습. [유튜브 'The Sun' 채널 캡처] [헤럴드경제=신동윤 기자] 호주의 상징으로 불리는 코알라가 호주 정부에 의해 공식적으로 멸종위기종 목록에 이름이 올랐다. 10일(현지시간) 영국 BBC...
코알라,'호주 마스코트' 코알라 멸종위기종 지정.. 산불·감염병 등 원인,최근 20년간 코알라 개체수가 급격히 감소한 호주에서 코알라를 멸종위기종으로 지정했다. 11일 AFP 통신 등 외신에 따르면 수잔 레이 호주 환경부 장관은 뉴사우스웨일스와 준주 퀸즐랜드 등 동부 연안 3개 지역에서 코알라 보호를 강화하기 위해 이같이 조치했다...
코알라,이더리움 만든 비탈릭 부테린 "크립토 윈터 환영할 일" [한경 코알라],speaks at ETHDenver on February 18 2022 in Denver Colorado. AFP연합뉴스 2월 21일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 미국 덴버에서...
코알라,밤새 5000만원 깨진 비트코인..반등 추세 무너졌다 [한경 코알라],사진=REUTERS 2월 18일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 다시 4만 달러로 밀린 비트코인 다음 주 향방은 비트코인이 4만4000달러대에서...
코알라,호주 라이프스타일을 담은 코알라 자연을 닮은 침구 선보여 [서울리빙디자인페어],호주 홈퍼니처기업 코알라(Koala)가 오는 23일부터 27일까지 서울 삼성동 코엑스에서 진행되는 ‘2022 서울리빙디자인페어’에 참여합니다. 코알라는 ‘2022 서울리빙디자인페어’ 참여를 통해 ‘여유로운 삶’을 위한 호주식 라이프스타일을 제안하고 자연과 공존...
코알라,비트코인은 싸움에서 이기는 전략이다 [한경 코알라],2월 16일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 혁신 기술의 양면성 세상에는 아직 비트코인을 범죄에 악용되는 사이버머니 정도로 치부하는...
코알라,야생동물: 호주 코알라 멸종위기종으로 지정,코알라의 개체수가 급격히 감소하면서 11일(현지시간) 호주의 동부 해안 대부분 지역에서 코알라가 멸종위기종으로 지정됐다. 한때 번성했던 코알라는 농경지 개간 산불 가뭄 질병 등으로 멸종 위기에 내몰리고 있다. 이에따라 호주 연방정부는 퀸즐랜드 뉴...
코알라,한국인 접속만 막으면 게임용 NFT는 합법? 아닐 수 있다 [한경 코알라],2월 10일 한국경제신문의 암호화폐 투자 뉴스레터 '코알라'에 실린 기사입니다. 주 5회 매일 아침 발행하는 코알라를 받아보세요!무료 구독신청 hankyung.com/newsletter 게임용 NFT에는 어떤 규제가 적용될까 NFT(대체불가능토큰) 시장에서 가장 ‘핫’한 시장 중...
코알라,코알라 HS88 주최 KBCC 참여…신규가입·굿즈증정 이벤트 진행,HS88의 자회사 코알라가 지난 15일 HS88이 주최한 대한민국 블록체인 컨퍼런스(KBCC)에 참여했다고 18일 밝혔다. 이번 행사에서 코알라는 최대 1BTC을 주는 신규 회원가입 이벤트와 코알라 굿즈를 증정하는 이벤트를 진행했다. 코알라 관계자는 "이번 이벤트뿐...
